numSample,radar_X_m,radar_Y_m,radar_Z_m,dim_X_m,dim_Y_m,dim_Z_m,rotation_y,class
18,5.64,-3.92,0.47,4.7,2.0,1.7,-0.01,1
18,12.76,-0.03,0.34,4.7,2.0,1.51,-0.01,1
18,23.55,-3.89,0.47,4.7,2.06,1.7,0.0,1
18,35.53,-3.91,0.6,4.74,2.0,1.74,0.0,1
37,67.4,10.3,-0.39,4.7,2.0,1.7,3.23,1
38,59.88,9.3,-0.09,4.7,2.0,1.7,3.25,1
39,52.24,7.81,-0.06,4.7,2.0,1.7,3.19,1
40,44.73,6.75,-0.34,4.7,2.0,1.7,3.23,1
41,37.13,5.98,0.3,4.7,2.0,1.7,3.25,1
43,60.57,11.98,0.59,4.7,2.0,1.7,3.25,1
44,44.74,8.83,-0.02,4.79,2.0,1.44,3.16,1
45,36.73,7.88,-0.08,4.7,2.0,1.7,3.27,1
46,28.87,6.6,0.4,4.7,2.0,1.7,3.25,1
47,20.94,5.79,0.17,4.7,2.0,1.7,3.23,1
48,13.09,5.13,0.42,4.7,2.0,1.7,3.19,1
77,13.31,3.73,0.41,4.26,1.98,1.62,-0.06,1
82,14.99,3.59,0.35,4.22,2.0,1.7,-0.05,1
82,100.89,-5.83,-0.71,4.7,2.0,1.7,-0.05,1
83,15.6,3.58,0.54,4.7,2.0,1.7,-0.05,1
83,101.06,-5.95,0.48,4.7,2.0,1.7,-0.11,1
85,16.13,3.67,0.53,4.7,2.0,1.7,-0.02,1
85,101.41,-5.22,0.09,4.7,2.0,1.7,-0.11,1
88,17.96,4.09,0.44,4.7,2.0,1.7,-0.03,1
90,18.58,4.25,0.35,4.7,2.0,1.7,-0.03,1
91,18.92,4.24,0.27,4.7,2.0,1.7,-0.04,1
91,102.24,-1.5,-1.17,4.7,2.0,1.7,0.01,1
92,19.28,4.23,0.35,4.7,2.0,1.7,-0.05,1
93,19.58,4.13,0.18,4.7,2.0,1.7,-0.03,1
94,20.01,4.09,0.4,4.74,2.01,1.57,-0.01,1
94,102.35,-0.65,0.07,4.71,2.07,1.48,0.01,1
95,20.33,4.08,0.22,4.77,2.04,1.55,-0.02,1
96,20.68,3.88,0.39,4.7,2.0,1.7,-0.03,1
97,21.02,3.8,0.14,4.7,2.0,1.78,-0.01,1
97,102.35,-0.68,-1.14,4.7,2.0,1.78,-0.01,1
98,21.46,3.62,0.38,4.7,2.0,1.7,-0.04,1
98,102.38,-0.49,-0.57,4.7,2.0,1.7,-0.02,1
99,21.7,3.51,0.12,4.7,2.0,1.7,-0.05,1
99,102.36,-0.54,-1.17,4.7,2.0,1.7,-0.02,1
99,62.04,15.12,-1.0,4.7,2.0,1.7,3.13,1
100,23.57,2.76,0.31,4.7,2.0,1.7,-0.05,1
101,24.01,2.65,0.26,4.7,2.0,1.83,6.26,1
101,102.63,-0.33,-1.0,4.7,2.0,1.7,6.26,1
102,24.53,2.36,0.26,4.7,2.0,1.7,-0.07,1
103,25.51,2.07,0.1,4.7,2.0,1.7,-0.02,1
103,102.8,-0.8,-1.42,4.7,2.0,1.7,-0.02,1
105,26.52,1.62,0.19,4.7,2.0,1.7,-0.05,1
106,27.12,1.51,0.27,4.7,2.0,1.7,-0.01,1
106,103.16,-0.78,-1.06,4.7,2.0,1.7,0.01,1
107,27.6,1.4,0.15,4.7,2.0,1.74,-0.01,1
107,103.26,-0.89,-1.35,4.7,2.0,1.7,-0.01,1
109,28.54,1.18,0.01,4.7,2.0,1.7,0.01,1
109,103.48,-0.84,-2.1,4.7,2.0,1.7,0.01,1
110,29.01,0.94,0.41,4.7,2.0,1.7,-0.02,1
111,30.83,0.58,0.41,4.7,2.0,1.7,0.01,1
112,31.28,0.59,0.22,4.7,2.0,2.0,6.3,1
113,32.31,0.35,0.0,4.73,2.02,1.7,-0.0,1
114,32.79,0.25,0.09,4.7,2.0,1.7,-0.0,1
115,33.19,0.13,0.08,4.7,2.0,1.87,-0.02,1
116,33.68,0.02,0.39,4.7,2.0,1.7,-0.02,1
117,34.2,0.05,-0.15,4.7,2.0,1.7,0.0,1
118,34.79,0.11,0.11,4.77,2.05,1.62,0.01,1
119,35.18,-0.13,-0.05,4.7,2.0,1.7,-0.02,1
120,35.71,-0.11,0.13,4.7,2.0,1.7,-0.02,1
121,36.22,-0.11,-0.23,4.76,2.01,1.65,-0.01,1
122,38.32,-0.18,-0.19,4.76,2.03,1.65,0.0,1
123,38.81,-0.13,0.21,4.7,2.0,1.7,0.01,1
124,39.33,-0.2,-0.13,4.7,2.0,1.7,-0.02,1
125,39.95,-0.14,0.38,4.7,2.0,2.13,-0.01,1
126,40.42,-0.24,-0.17,4.7,2.0,1.7,-0.02,1
127,41.02,-0.2,0.24,4.7,2.0,1.73,-0.02,1
128,41.57,-0.24,-0.2,4.7,2.0,1.82,0.01,1
129,42.31,-0.2,0.36,4.7,2.0,1.7,6.29,1
130,42.87,-0.3,-0.33,4.7,2.0,1.7,-0.02,1
131,43.58,-0.2,0.44,4.76,2.01,1.45,0.0,1
132,44.13,-0.34,-0.5,4.7,2.0,1.7,-0.02,1
133,44.75,-0.44,0.3,4.7,2.0,2.05,-0.02,1
134,47.3,-0.41,0.01,4.7,2.0,1.7,-0.02,1
135,47.93,-0.52,-0.4,4.7,2.09,1.7,-0.02,1
136,48.56,-0.41,0.1,4.7,2.0,1.7,0.01,1
137,49.24,-0.43,-0.49,4.7,2.0,1.7,-0.02,1
138,49.88,-0.31,0.02,4.7,2.0,1.71,-0.02,1
139,50.52,-0.28,-0.51,4.7,2.0,1.7,0.01,1
140,51.06,-0.27,0.19,4.7,2.0,1.7,-0.02,1
141,51.63,-0.18,-1.08,4.7,2.0,1.7,0.02,1
142,52.26,-0.17,0.0,4.7,2.0,1.81,-0.02,1
143,52.79,-0.12,-0.66,4.7,2.0,2.03,0.01,1
144,53.35,-0.08,0.03,4.7,2.0,1.76,-0.02,1
145,53.76,-0.01,-0.54,4.7,2.0,1.89,0.03,1
146,55.79,0.2,-0.77,4.75,2.03,1.43,-0.01,1
147,56.19,0.06,0.35,4.7,2.0,1.7,-0.02,1
148,56.57,0.2,-0.64,4.7,2.06,1.7,0.01,1
149,56.93,0.18,0.46,4.7,2.0,1.7,-0.02,1
150,57.31,0.21,-0.58,4.76,2.02,1.92,0.01,1
151,57.65,0.21,0.27,4.73,2.0,1.54,0.02,1
